project,test_class,per_line_cov,per_line_total,per_line_rate,per_branch_cov,per_branch_total,per_branch_rate,proj_line_cov,proj_line_total,proj_line_rate,proj_branch_cov,proj_branch_total,proj_branch_rate,line_contrib_pct,branch_contrib_pct
Csv_1_b,org.apache.commons.csv.ExtendedBufferedReader_4_6Test,19,455,4.18,14,292,4.79,28,455,6.15,18,292,6.16,67.86,77.78
Csv_2_b,org.apache.commons.csv.CSVRecord_11_1Test,8,601,1.33,1,411,0.24,21,601,3.49,16,411,3.89,38.1,6.25
Csv_2_b,org.apache.commons.csv.CSVRecord_1_1Test,15,601,2.5,5,411,1.22,21,601,3.49,16,411,3.89,71.43,31.25
Csv_2_b,org.apache.commons.csv.CSVRecord_12_1Test,8,601,1.33,1,411,0.24,21,601,3.49,16,411,3.89,38.1,6.25
Csv_2_b,org.apache.commons.csv.CSVRecord_8_1Test,8,601,1.33,1,411,0.24,21,601,3.49,16,411,3.89,38.1,6.25
Csv_2_b,org.apache.commons.csv.CSVRecord_9_1Test,8,601,1.33,1,411,0.24,21,601,3.49,16,411,3.89,38.1,6.25
Csv_2_b,org.apache.commons.csv.CSVRecord_2_1Test,14,601,2.33,1,411,0.24,21,601,3.49,16,411,3.89,66.67,6.25
Csv_2_b,org.apache.commons.csv.CSVRecord_3_1Test,11,601,1.83,5,411,1.22,21,601,3.49,16,411,3.89,52.38,31.25
Csv_2_b,org.apache.commons.csv.CSVRecord_5_1Test,8,601,1.33,3,411,0.73,21,601,3.49,16,411,3.89,38.1,18.75
Csv_2_b,org.apache.commons.csv.CSVRecord_10_1Test,8,601,1.33,1,411,0.24,21,601,3.49,16,411,3.89,38.1,6.25
Csv_2_b,org.apache.commons.csv.CSVRecord_7_1Test,8,601,1.33,1,411,0.24,21,601,3.49,16,411,3.89,38.1,6.25
Csv_2_b,org.apache.commons.csv.CSVRecord_4_1Test,8,601,1.33,5,411,1.22,21,601,3.49,16,411,3.89,38.1,31.25
Csv_2_b,org.apache.commons.csv.CSVRecord_6_1Test,9,601,1.5,6,411,1.46,21,601,3.49,16,411,3.89,42.86,37.5
Csv_2_b,org.apache.commons.csv.CSVRecord_10_2Test,8,601,1.33,1,411,0.24,21,601,3.49,16,411,3.89,38.1,6.25
Csv_2_b,org.apache.commons.csv.CSVRecord_9_2Test,8,601,1.33,1,411,0.24,21,601,3.49,16,411,3.89,38.1,6.25
Csv_2_b,org.apache.commons.csv.CSVRecord_6_2Test,9,601,1.5,6,411,1.46,21,601,3.49,16,411,3.89,42.86,37.5
Csv_2_b,org.apache.commons.csv.CSVRecord_4_2Test,8,601,1.33,5,411,1.22,21,601,3.49,16,411,3.89,38.1,31.25
Csv_2_b,org.apache.commons.csv.CSVRecord_11_2Test,8,601,1.33,1,411,0.24,21,601,3.49,16,411,3.89,38.1,6.25
Csv_2_b,org.apache.commons.csv.CSVRecord_7_2Test,8,601,1.33,1,411,0.24,21,601,3.49,16,411,3.89,38.1,6.25
Csv_2_b,org.apache.commons.csv.CSVRecord_2_2Test,8,601,1.33,1,411,0.24,21,601,3.49,16,411,3.89,38.1,6.25
Csv_2_b,org.apache.commons.csv.CSVRecord_8_2Test,8,601,1.33,1,411,0.24,21,601,3.49,16,411,3.89,38.1,6.25
Csv_2_b,org.apache.commons.csv.CSVRecord_1_2Test,19,601,3.16,11,411,2.68,21,601,3.49,16,411,3.89,90.48,68.75
Csv_2_b,org.apache.commons.csv.CSVRecord_3_2Test,11,601,1.83,5,411,1.22,21,601,3.49,16,411,3.89,52.38,31.25
Csv_2_b,org.apache.commons.csv.CSVRecord_5_2Test,8,601,1.33,3,411,0.73,21,601,3.49,16,411,3.89,38.1,18.75
Csv_2_b,org.apache.commons.csv.CSVRecord_12_2Test,8,601,1.33,1,411,0.24,21,601,3.49,16,411,3.89,38.1,6.25
Csv_2_b,org.apache.commons.csv.CSVRecord_1_3Test,18,601,3.0,11,411,2.68,21,601,3.49,16,411,3.89,85.71,68.75
Csv_2_b,org.apache.commons.csv.CSVRecord_9_3Test,8,601,1.33,1,411,0.24,21,601,3.49,16,411,3.89,38.1,6.25
Csv_2_b,org.apache.commons.csv.CSVRecord_2_3Test,14,601,2.33,1,411,0.24,21,601,3.49,16,411,3.89,66.67,6.25
Csv_2_b,org.apache.commons.csv.CSVRecord_6_3Test,9,601,1.5,6,411,1.46,21,601,3.49,16,411,3.89,42.86,37.5
Csv_2_b,org.apache.commons.csv.CSVRecord_7_3Test,8,601,1.33,1,411,0.24,21,601,3.49,16,411,3.89,38.1,6.25
Csv_2_b,org.apache.commons.csv.CSVRecord_3_3Test,11,601,1.83,5,411,1.22,21,601,3.49,16,411,3.89,52.38,31.25
Csv_2_b,org.apache.commons.csv.CSVRecord_4_3Test,8,601,1.33,5,411,1.22,21,601,3.49,16,411,3.89,38.1,31.25
Csv_2_b,org.apache.commons.csv.CSVRecord_10_3Test,8,601,1.33,1,411,0.24,21,601,3.49,16,411,3.89,38.1,6.25
Csv_2_b,org.apache.commons.csv.CSVRecord_12_3Test,8,601,1.33,1,411,0.24,21,601,3.49,16,411,3.89,38.1,6.25
Csv_2_b,org.apache.commons.csv.CSVRecord_5_3Test,8,601,1.33,3,411,0.73,21,601,3.49,16,411,3.89,38.1,18.75
Csv_2_b,org.apache.commons.csv.CSVRecord_8_3Test,8,601,1.33,1,411,0.24,21,601,3.49,16,411,3.89,38.1,6.25
Csv_2_b,org.apache.commons.csv.CSVRecord_11_3Test,8,601,1.33,1,411,0.24,21,601,3.49,16,411,3.89,38.1,6.25
Csv_2_b,org.apache.commons.csv.CSVRecord_6_4Test,9,601,1.5,6,411,1.46,21,601,3.49,16,411,3.89,42.86,37.5
Csv_2_b,org.apache.commons.csv.CSVRecord_8_4Test,8,601,1.33,1,411,0.24,21,601,3.49,16,411,3.89,38.1,6.25
Csv_2_b,org.apache.commons.csv.CSVRecord_10_4Test,8,601,1.33,1,411,0.24,21,601,3.49,16,411,3.89,38.1,6.25
Csv_2_b,org.apache.commons.csv.CSVRecord_11_4Test,8,601,1.33,1,411,0.24,21,601,3.49,16,411,3.89,38.1,6.25
Csv_2_b,org.apache.commons.csv.CSVRecord_4_4Test,8,601,1.33,5,411,1.22,21,601,3.49,16,411,3.89,38.1,31.25
Csv_2_b,org.apache.commons.csv.CSVRecord_5_4Test,8,601,1.33,3,411,0.73,21,601,3.49,16,411,3.89,38.1,18.75
Csv_2_b,org.apache.commons.csv.CSVRecord_7_4Test,8,601,1.33,1,411,0.24,21,601,3.49,16,411,3.89,38.1,6.25
Csv_2_b,org.apache.commons.csv.CSVRecord_2_4Test,8,601,1.33,1,411,0.24,21,601,3.49,16,411,3.89,38.1,6.25
Csv_2_b,org.apache.commons.csv.CSVRecord_1_4Test,7,601,1.16,2,411,0.49,21,601,3.49,16,411,3.89,33.33,12.5
Csv_2_b,org.apache.commons.csv.CSVRecord_9_4Test,8,601,1.33,1,411,0.24,21,601,3.49,16,411,3.89,38.1,6.25
Csv_2_b,org.apache.commons.csv.CSVRecord_3_4Test,11,601,1.83,5,411,1.22,21,601,3.49,16,411,3.89,52.38,31.25
Csv_2_b,org.apache.commons.csv.CSVRecord_12_4Test,8,601,1.33,1,411,0.24,21,601,3.49,16,411,3.89,38.1,6.25
Csv_2_b,org.apache.commons.csv.CSVRecord_4_5Test,8,601,1.33,5,411,1.22,21,601,3.49,16,411,3.89,38.1,31.25
Csv_2_b,org.apache.commons.csv.CSVRecord_10_5Test,8,601,1.33,1,411,0.24,21,601,3.49,16,411,3.89,38.1,6.25
Csv_2_b,org.apache.commons.csv.CSVRecord_11_5Test,8,601,1.33,1,411,0.24,21,601,3.49,16,411,3.89,38.1,6.25
Csv_2_b,org.apache.commons.csv.CSVRecord_6_5Test,9,601,1.5,6,411,1.46,21,601,3.49,16,411,3.89,42.86,37.5
Csv_2_b,org.apache.commons.csv.CSVRecord_1_5Test,16,601,2.66,7,411,1.7,21,601,3.49,16,411,3.89,76.19,43.75
Csv_2_b,org.apache.commons.csv.CSVRecord_3_5Test,11,601,1.83,5,411,1.22,21,601,3.49,16,411,3.89,52.38,31.25
Csv_2_b,org.apache.commons.csv.CSVRecord_12_5Test,8,601,1.33,2,411,0.49,21,601,3.49,16,411,3.89,38.1,12.5
Csv_2_b,org.apache.commons.csv.CSVRecord_2_5Test,8,601,1.33,1,411,0.24,21,601,3.49,16,411,3.89,38.1,6.25
Csv_2_b,org.apache.commons.csv.CSVRecord_5_5Test,8,601,1.33,3,411,0.73,21,601,3.49,16,411,3.89,38.1,18.75
Csv_2_b,org.apache.commons.csv.CSVRecord_9_5Test,8,601,1.33,1,411,0.24,21,601,3.49,16,411,3.89,38.1,6.25
Csv_2_b,org.apache.commons.csv.CSVRecord_8_6Test,8,601,1.33,1,411,0.24,21,601,3.49,16,411,3.89,38.1,6.25
Csv_2_b,org.apache.commons.csv.CSVRecord_12_6Test,8,601,1.33,1,411,0.24,21,601,3.49,16,411,3.89,38.1,6.25
Csv_2_b,org.apache.commons.csv.CSVRecord_10_6Test,8,601,1.33,1,411,0.24,21,601,3.49,16,411,3.89,38.1,6.25
Csv_2_b,org.apache.commons.csv.CSVRecord_11_6Test,8,601,1.33,1,411,0.24,21,601,3.49,16,411,3.89,38.1,6.25
Csv_2_b,org.apache.commons.csv.CSVRecord_6_6Test,9,601,1.5,6,411,1.46,21,601,3.49,16,411,3.89,42.86,37.5
Csv_2_b,org.apache.commons.csv.CSVRecord_3_6Test,11,601,1.83,5,411,1.22,21,601,3.49,16,411,3.89,52.38,31.25
Csv_2_b,org.apache.commons.csv.CSVRecord_9_6Test,8,601,1.33,1,411,0.24,21,601,3.49,16,411,3.89,38.1,6.25
Csv_2_b,org.apache.commons.csv.CSVRecord_5_6Test,8,601,1.33,3,411,0.73,21,601,3.49,16,411,3.89,38.1,18.75
Csv_2_b,org.apache.commons.csv.CSVRecord_2_6Test,9,601,1.5,1,411,0.24,21,601,3.49,16,411,3.89,42.86,6.25
Csv_2_b,org.apache.commons.csv.CSVRecord_7_6Test,8,601,1.33,1,411,0.24,21,601,3.49,16,411,3.89,38.1,6.25
Csv_2_b,org.apache.commons.csv.CSVRecord_1_6Test,20,601,3.33,9,411,2.19,21,601,3.49,16,411,3.89,95.24,56.25
Csv_2_b,org.apache.commons.csv.CSVRecord_4_6Test,8,601,1.33,5,411,1.22,21,601,3.49,16,411,3.89,38.1,31.25
Csv_3_b,org.apache.commons.csv.Lexer_7_1Test,121,618,19.58,60,416,14.42,132,618,21.36,67,416,16.11,91.67,89.55
Csv_3_b,org.apache.commons.csv.Lexer_11_1Test,93,618,15.05,30,416,7.21,132,618,21.36,67,416,16.11,70.45,44.78
Csv_3_b,org.apache.commons.csv.Lexer_13_1Test,93,618,15.05,30,416,7.21,132,618,21.36,67,416,16.11,70.45,44.78
Csv_3_b,org.apache.commons.csv.Lexer_10_1Test,98,618,15.86,29,416,6.97,132,618,21.36,67,416,16.11,74.24,43.28
Csv_3_b,org.apache.commons.csv.Lexer_5_1Test,0,618,0.0,0,416,0.0,132,618,21.36,67,416,16.11,0.0,0.0
Csv_3_b,org.apache.commons.csv.Lexer_3_1Test,93,618,15.05,28,416,6.73,132,618,21.36,67,416,16.11,70.45,41.79
Csv_3_b,org.apache.commons.csv.Lexer_8_1Test,0,618,0.0,0,416,0.0,132,618,21.36,67,416,16.11,0.0,0.0
Csv_3_b,org.apache.commons.csv.Lexer_9_1Test,93,618,15.05,34,416,8.17,132,618,21.36,67,416,16.11,70.45,50.75
Csv_3_b,org.apache.commons.csv.Lexer_14_1Test,93,618,15.05,30,416,7.21,132,618,21.36,67,416,16.11,70.45,44.78
Csv_3_b,org.apache.commons.csv.Lexer_12_1Test,0,618,0.0,0,416,0.0,132,618,21.36,67,416,16.11,0.0,0.0
Csv_3_b,org.apache.commons.csv.Lexer_1_1Test,111,618,17.96,61,416,14.66,132,618,21.36,67,416,16.11,84.09,91.04
Csv_3_b,org.apache.commons.csv.Lexer_6_1Test,95,618,15.37,36,416,8.65,132,618,21.36,67,416,16.11,71.97,53.73
Csv_3_b,org.apache.commons.csv.Lexer_2_1Test,98,618,15.86,29,416,6.97,132,618,21.36,67,416,16.11,74.24,43.28
Csv_3_b,org.apache.commons.csv.Lexer_9_2Test,0,618,0.0,0,416,0.0,132,618,21.36,67,416,16.11,0.0,0.0
Csv_3_b,org.apache.commons.csv.Lexer_10_2Test,93,618,15.05,30,416,7.21,132,618,21.36,67,416,16.11,70.45,44.78
Csv_3_b,org.apache.commons.csv.Lexer_14_2Test,99,618,16.02,31,416,7.45,132,618,21.36,67,416,16.11,75.0,46.27
Csv_3_b,org.apache.commons.csv.Lexer_2_2Test,81,618,13.11,27,416,6.49,132,618,21.36,67,416,16.11,61.36,40.3
Csv_3_b,org.apache.commons.csv.Lexer_7_2Test,81,618,13.11,27,416,6.49,132,618,21.36,67,416,16.11,61.36,40.3
Csv_3_b,org.apache.commons.csv.Lexer_6_2Test,0,618,0.0,0,416,0.0,132,618,21.36,67,416,16.11,0.0,0.0
Csv_3_b,org.apache.commons.csv.Lexer_12_2Test,99,618,16.02,31,416,7.45,132,618,21.36,67,416,16.11,75.0,46.27
Csv_3_b,org.apache.commons.csv.Lexer_1_2Test,110,618,17.8,57,416,13.7,132,618,21.36,67,416,16.11,83.33,85.07
Csv_3_b,org.apache.commons.csv.Lexer_8_2Test,0,618,0.0,0,416,0.0,132,618,21.36,67,416,16.11,0.0,0.0
Csv_3_b,org.apache.commons.csv.Lexer_13_2Test,93,618,15.05,30,416,7.21,132,618,21.36,67,416,16.11,70.45,44.78
Csv_3_b,org.apache.commons.csv.Lexer_5_2Test,0,618,0.0,0,416,0.0,132,618,21.36,67,416,16.11,0.0,0.0
Csv_3_b,org.apache.commons.csv.Lexer_11_2Test,0,618,0.0,0,416,0.0,132,618,21.36,67,416,16.11,0.0,0.0
Csv_3_b,org.apache.commons.csv.Lexer_3_2Test,93,618,15.05,28,416,6.73,132,618,21.36,67,416,16.11,70.45,41.79
Csv_3_b,org.apache.commons.csv.Lexer_1_3Test,92,618,14.89,29,416,6.97,132,618,21.36,67,416,16.11,69.7,43.28
Csv_3_b,org.apache.commons.csv.Lexer_6_3Test,95,618,15.37,36,416,8.65,132,618,21.36,67,416,16.11,71.97,53.73
Csv_3_b,org.apache.commons.csv.Lexer_12_3Test,93,618,15.05,30,416,7.21,132,618,21.36,67,416,16.11,70.45,44.78
Csv_3_b,org.apache.commons.csv.Lexer_3_3Test,99,618,16.02,29,416,6.97,132,618,21.36,67,416,16.11,75.0,43.28
Csv_3_b,org.apache.commons.csv.Lexer_11_3Test,92,618,14.89,28,416,6.73,132,618,21.36,67,416,16.11,69.7,41.79
Csv_3_b,org.apache.commons.csv.Lexer_5_3Test,0,618,0.0,0,416,0.0,132,618,21.36,67,416,16.11,0.0,0.0
Csv_3_b,org.apache.commons.csv.Lexer_9_3Test,93,618,15.05,34,416,8.17,132,618,21.36,67,416,16.11,70.45,50.75
Csv_3_b,org.apache.commons.csv.Lexer_7_3Test,119,618,19.26,55,416,13.22,132,618,21.36,67,416,16.11,90.15,82.09
Csv_3_b,org.apache.commons.csv.Lexer_13_3Test,93,618,15.05,30,416,7.21,132,618,21.36,67,416,16.11,70.45,44.78
Csv_3_b,org.apache.commons.csv.Lexer_10_3Test,93,618,15.05,30,416,7.21,132,618,21.36,67,416,16.11,70.45,44.78
Csv_3_b,org.apache.commons.csv.Lexer_14_3Test,93,618,15.05,30,416,7.21,132,618,21.36,67,416,16.11,70.45,44.78
Csv_3_b,org.apache.commons.csv.Lexer_8_3Test,0,618,0.0,0,416,0.0,132,618,21.36,67,416,16.11,0.0,0.0
Csv_3_b,org.apache.commons.csv.Lexer_4_3Test,0,618,0.0,0,416,0.0,132,618,21.36,67,416,16.11,0.0,0.0
Csv_3_b,org.apache.commons.csv.Lexer_2_3Test,0,618,0.0,0,416,0.0,132,618,21.36,67,416,16.11,0.0,0.0
Csv_3_b,org.apache.commons.csv.Lexer_7_4Test,120,618,19.42,55,416,13.22,132,618,21.36,67,416,16.11,90.91,82.09
Csv_3_b,org.apache.commons.csv.Lexer_5_4Test,0,618,0.0,0,416,0.0,132,618,21.36,67,416,16.11,0.0,0.0
Csv_3_b,org.apache.commons.csv.Lexer_1_4Test,112,618,18.12,59,416,14.18,132,618,21.36,67,416,16.11,84.85,88.06
Csv_3_b,org.apache.commons.csv.Lexer_13_4Test,93,618,15.05,30,416,7.21,132,618,21.36,67,416,16.11,70.45,44.78
Csv_3_b,org.apache.commons.csv.Lexer_6_4Test,95,618,15.37,36,416,8.65,132,618,21.36,67,416,16.11,71.97,53.73
Csv_3_b,org.apache.commons.csv.Lexer_12_4Test,93,618,15.05,30,416,7.21,132,618,21.36,67,416,16.11,70.45,44.78
Csv_3_b,org.apache.commons.csv.Lexer_3_4Test,93,618,15.05,28,416,6.73,132,618,21.36,67,416,16.11,70.45,41.79
Csv_3_b,org.apache.commons.csv.Lexer_2_4Test,0,618,0.0,0,416,0.0,132,618,21.36,67,416,16.11,0.0,0.0
Csv_3_b,org.apache.commons.csv.Lexer_14_4Test,0,618,0.0,0,416,0.0,132,618,21.36,67,416,16.11,0.0,0.0
Csv_3_b,org.apache.commons.csv.Lexer_11_4Test,92,618,14.89,28,416,6.73,132,618,21.36,67,416,16.11,69.7,41.79
Csv_3_b,org.apache.commons.csv.Lexer_9_4Test,81,618,13.11,27,416,6.49,132,618,21.36,67,416,16.11,61.36,40.3
Csv_3_b,org.apache.commons.csv.Lexer_8_4Test,93,618,15.05,32,416,7.69,132,618,21.36,67,416,16.11,70.45,47.76
Csv_3_b,org.apache.commons.csv.Lexer_7_5Test,107,618,17.31,40,416,9.62,132,618,21.36,67,416,16.11,81.06,59.7
Csv_3_b,org.apache.commons.csv.Lexer_6_5Test,95,618,15.37,36,416,8.65,132,618,21.36,67,416,16.11,71.97,53.73
Csv_3_b,org.apache.commons.csv.Lexer_14_5Test,93,618,15.05,30,416,7.21,132,618,21.36,67,416,16.11,70.45,44.78
Csv_3_b,org.apache.commons.csv.Lexer_2_5Test,3,618,0.49,0,416,0.0,132,618,21.36,67,416,16.11,2.27,0.0
Csv_3_b,org.apache.commons.csv.Lexer_13_5Test,0,618,0.0,0,416,0.0,132,618,21.36,67,416,16.11,0.0,0.0
Csv_3_b,org.apache.commons.csv.Lexer_8_5Test,93,618,15.05,32,416,7.69,132,618,21.36,67,416,16.11,70.45,47.76
Csv_3_b,org.apache.commons.csv.Lexer_11_5Test,0,618,0.0,0,416,0.0,132,618,21.36,67,416,16.11,0.0,0.0
Csv_3_b,org.apache.commons.csv.Lexer_4_5Test,0,618,0.0,0,416,0.0,132,618,21.36,67,416,16.11,0.0,0.0
Csv_3_b,org.apache.commons.csv.Lexer_9_5Test,93,618,15.05,34,416,8.17,132,618,21.36,67,416,16.11,70.45,50.75
Csv_3_b,org.apache.commons.csv.Lexer_1_5Test,111,618,17.96,60,416,14.42,132,618,21.36,67,416,16.11,84.09,89.55
Csv_3_b,org.apache.commons.csv.Lexer_12_5Test,0,618,0.0,0,416,0.0,132,618,21.36,67,416,16.11,0.0,0.0
Csv_3_b,org.apache.commons.csv.Lexer_5_5Test,0,618,0.0,0,416,0.0,132,618,21.36,67,416,16.11,0.0,0.0
Csv_3_b,org.apache.commons.csv.Lexer_10_5Test,93,618,15.05,30,416,7.21,132,618,21.36,67,416,16.11,70.45,44.78
Csv_3_b,org.apache.commons.csv.Lexer_7_6Test,120,618,19.42,58,416,13.94,132,618,21.36,67,416,16.11,90.91,86.57
Csv_3_b,org.apache.commons.csv.Lexer_5_6Test,0,618,0.0,0,416,0.0,132,618,21.36,67,416,16.11,0.0,0.0
Csv_3_b,org.apache.commons.csv.Lexer_4_6Test,0,618,0.0,0,416,0.0,132,618,21.36,67,416,16.11,0.0,0.0
Csv_3_b,org.apache.commons.csv.Lexer_11_6Test,93,618,15.05,30,416,7.21,132,618,21.36,67,416,16.11,70.45,44.78
Csv_3_b,org.apache.commons.csv.Lexer_2_6Test,0,618,0.0,0,416,0.0,132,618,21.36,67,416,16.11,0.0,0.0
Csv_3_b,org.apache.commons.csv.Lexer_1_6Test,81,618,13.11,27,416,6.49,132,618,21.36,67,416,16.11,61.36,40.3
Csv_3_b,org.apache.commons.csv.Lexer_10_6Test,102,618,16.5,31,416,7.45,132,618,21.36,67,416,16.11,77.27,46.27
Csv_3_b,org.apache.commons.csv.Lexer_9_6Test,93,618,15.05,34,416,8.17,132,618,21.36,67,416,16.11,70.45,50.75
Csv_3_b,org.apache.commons.csv.Lexer_12_6Test,93,618,15.05,30,416,7.21,132,618,21.36,67,416,16.11,70.45,44.78
Csv_3_b,org.apache.commons.csv.Lexer_8_6Test,0,618,0.0,0,416,0.0,132,618,21.36,67,416,16.11,0.0,0.0
Csv_3_b,org.apache.commons.csv.Lexer_6_6Test,101,618,16.34,37,416,8.89,132,618,21.36,67,416,16.11,76.52,55.22
Csv_3_b,org.apache.commons.csv.Lexer_14_6Test,0,618,0.0,0,416,0.0,132,618,21.36,67,416,16.11,0.0,0.0
Csv_3_b,org.apache.commons.csv.Lexer_3_6Test,93,618,15.05,28,416,6.73,132,618,21.36,67,416,16.11,70.45,41.79
Csv_12_b,org.apache.commons.csv.CSVFormat_16_1Test,55,685,8.03,26,500,5.2,264,685,38.54,159,500,31.8,20.83,16.35
Csv_12_b,org.apache.commons.csv.CSVFormat_2_1Test,55,685,8.03,27,500,5.4,264,685,38.54,159,500,31.8,20.83,16.98
Csv_12_b,org.apache.commons.csv.CSVFormat_30_1Test,58,685,8.47,28,500,5.6,264,685,38.54,159,500,31.8,21.97,17.61
Csv_12_b,org.apache.commons.csv.CSVFormat_26_1Test,90,685,13.14,44,500,8.8,264,685,38.54,159,500,31.8,34.09,27.67
Csv_12_b,org.apache.commons.csv.CSVFormat_17_1Test,56,685,8.18,26,500,5.2,264,685,38.54,159,500,31.8,21.21,16.35
Csv_12_b,org.apache.commons.csv.CSVFormat_37_1Test,91,685,13.28,46,500,9.2,264,685,38.54,159,500,31.8,34.47,28.93
Csv_12_b,org.apache.commons.csv.CSVFormat_12_1Test,56,685,8.18,26,500,5.2,264,685,38.54,159,500,31.8,21.21,16.35
Csv_12_b,org.apache.commons.csv.CSVFormat_9_1Test,56,685,8.18,26,500,5.2,264,685,38.54,159,500,31.8,21.21,16.35
Csv_12_b,org.apache.commons.csv.CSVFormat_11_1Test,56,685,8.18,26,500,5.2,264,685,38.54,159,500,31.8,21.21,16.35
Csv_12_b,org.apache.commons.csv.CSVFormat_1_1Test,55,685,8.03,28,500,5.6,264,685,38.54,159,500,31.8,20.83,17.61
Csv_12_b,org.apache.commons.csv.CSVFormat_34_1Test,69,685,10.07,27,500,5.4,264,685,38.54,159,500,31.8,26.14,16.98
Csv_12_b,org.apache.commons.csv.CSVFormat_41_1Test,56,685,8.18,26,500,5.2,264,685,38.54,159,500,31.8,21.21,16.35
Csv_12_b,org.apache.commons.csv.CSVFormat_8_1Test,55,685,8.03,26,500,5.2,264,685,38.54,159,500,31.8,20.83,16.35
Csv_12_b,org.apache.commons.csv.CSVFormat_42_1Test,64,685,9.34,27,500,5.4,264,685,38.54,159,500,31.8,24.24,16.98
Csv_12_b,org.apache.commons.csv.CSVFormat_3_1Test,90,685,13.14,47,500,9.4,264,685,38.54,159,500,31.8,34.09,29.56
Csv_12_b,org.apache.commons.csv.CSVFormat_22_1Test,56,685,8.18,27,500,5.4,264,685,38.54,159,500,31.8,21.21,16.98
