project_name,test_class,test_method,buggy_status,fixed_status,bug_revealing,buggy_rc,fixed_rc,notes
csv_1,org.apache.commons.csv.ExtendedBufferedReader_1_3Test,testReadCharArrayOffsetLength,timeout,timeout,false,None,None,timeout
csv_1,org.apache.commons.csv.ExtendedBufferedReader_1_3Test,testReadLine,timeout,timeout,false,None,None,timeout
csv_1,org.apache.commons.csv.ExtendedBufferedReader_1_3Test,testGetLineNumber,pass,pass,false,0,0,
csv_1,org.apache.commons.csv.ExtendedBufferedReader_1_3Test,testLookAhead,timeout,timeout,false,None,None,timeout
csv_1,org.apache.commons.csv.ExtendedBufferedReader_1_3Test,testReadAgain,fail,fail,false,1,1,
csv_1,org.apache.commons.csv.ExtendedBufferedReader_1_4Test,testRead_whenReaderReturnsChar,timeout,timeout,false,None,None,timeout
csv_1,org.apache.commons.csv.ExtendedBufferedReader_1_4Test,testRead_whenReaderReturnsEndOfStream,timeout,timeout,false,None,None,timeout
csv_1,org.apache.commons.csv.ExtendedBufferedReader_1_4Test,testReadAgain_reflective,fail,fail,false,1,1,
csv_1,org.apache.commons.csv.ExtendedBufferedReader_1_4Test,testReadBuffer,timeout,timeout,false,None,None,timeout
csv_1,org.apache.commons.csv.ExtendedBufferedReader_1_4Test,testReadLine,pass,pass,false,0,0,
csv_1,org.apache.commons.csv.ExtendedBufferedReader_1_4Test,testLookAhead_reflective,timeout,timeout,false,None,None,timeout
csv_1,org.apache.commons.csv.ExtendedBufferedReader_1_4Test,testGetLineNumber_reflective,pass,pass,false,0,0,
csv_1,org.apache.commons.csv.ExtendedBufferedReader_1_5Test,testConstructor,pass,pass,false,0,0,
csv_1,org.apache.commons.csv.ExtendedBufferedReader_1_5Test,testRead,timeout,timeout,false,None,None,timeout
csv_1,org.apache.commons.csv.ExtendedBufferedReader_1_5Test,testReadCharArrayOffsetLength,timeout,timeout,false,None,None,timeout
csv_1,org.apache.commons.csv.ExtendedBufferedReader_1_5Test,testReadLine,timeout,timeout,false,None,None,timeout
csv_1,org.apache.commons.csv.ExtendedBufferedReader_1_5Test,testLookAhead,timeout,timeout,false,None,None,timeout
csv_1,org.apache.commons.csv.ExtendedBufferedReader_1_5Test,testReadAgain,fail,fail,false,1,1,
csv_1,org.apache.commons.csv.ExtendedBufferedReader_1_5Test,testGetLineNumber,pass,pass,false,0,0,
csv_1,org.apache.commons.csv.ExtendedBufferedReader_1_6Test,testRead_EndOfStream,timeout,timeout,false,None,None,timeout
csv_1,org.apache.commons.csv.ExtendedBufferedReader_1_6Test,testRead_NormalChar,timeout,timeout,false,None,None,timeout
csv_1,org.apache.commons.csv.ExtendedBufferedReader_1_6Test,testReadAgain,fail,fail,false,1,1,
csv_1,org.apache.commons.csv.ExtendedBufferedReader_1_6Test,testReadCharArray,timeout,timeout,false,None,None,timeout
csv_1,org.apache.commons.csv.ExtendedBufferedReader_1_6Test,testReadLine,timeout,timeout,false,None,None,timeout
csv_1,org.apache.commons.csv.ExtendedBufferedReader_1_6Test,testLookAhead,timeout,timeout,false,None,None,timeout
csv_1,org.apache.commons.csv.ExtendedBufferedReader_1_6Test,testGetLineNumber,pass,pass,false,0,0,
csv_1,org.apache.commons.csv.ExtendedBufferedReader_2_1Test,testReadReturnsCharAndUpdatesLastCharWithoutNewline,pass,pass,false,0,0,
csv_1,org.apache.commons.csv.ExtendedBufferedReader_2_1Test,testReadReturnsNewlineCharAndIncrementsLineCounter,pass,pass,false,0,0,
csv_1,org.apache.commons.csv.ExtendedBufferedReader_2_1Test,testReadReturnsEndOfStream,pass,pass,false,0,0,
csv_1,org.apache.commons.csv.ExtendedBufferedReader_2_2Test,testRead_returnsCharNotNewline,timeout,timeout,false,None,None,timeout
csv_1,org.apache.commons.csv.ExtendedBufferedReader_2_2Test,testRead_returnsNewlineIncrementsLineCounter,timeout,timeout,false,None,None,timeout
csv_1,org.apache.commons.csv.ExtendedBufferedReader_2_2Test,testRead_returnsEndOfStream,timeout,timeout,false,None,None,timeout
csv_1,org.apache.commons.csv.ExtendedBufferedReader_2_3Test,testReadReturnsCharNotNewline,pass,pass,false,0,0,
csv_1,org.apache.commons.csv.ExtendedBufferedReader_2_3Test,testReadReturnsNewlineIncrementsLineCounter,pass,pass,false,0,0,
csv_1,org.apache.commons.csv.ExtendedBufferedReader_2_3Test,testReadReturnsEndOfStream,pass,pass,false,0,0,
csv_1,org.apache.commons.csv.ExtendedBufferedReader_2_4Test,testReadReturnsCharAndUpdatesLastCharWithoutNewline,pass,pass,false,0,0,
csv_1,org.apache.commons.csv.ExtendedBufferedReader_2_4Test,testReadReturnsNewlineAndIncrementsLineCounter,pass,pass,false,0,0,
csv_1,org.apache.commons.csv.ExtendedBufferedReader_2_4Test,testReadReturnsEndOfStream,pass,pass,false,0,0,
csv_1,org.apache.commons.csv.ExtendedBufferedReader_2_5Test,testReadReturnsCharNotNewline,timeout,timeout,false,None,None,timeout
csv_1,org.apache.commons.csv.ExtendedBufferedReader_2_5Test,testReadReturnsNewlineIncrementsLineCounter,timeout,timeout,false,None,None,timeout
csv_1,org.apache.commons.csv.ExtendedBufferedReader_2_5Test,testReadReturnsEndOfStream,timeout,timeout,false,None,None,timeout
csv_1,org.apache.commons.csv.ExtendedBufferedReader_2_6Test,testReadReturnsCharAndUpdatesLastCharNoNewline,timeout,timeout,false,None,None,timeout
csv_1,org.apache.commons.csv.ExtendedBufferedReader_2_6Test,testReadReturnsNewlineAndIncrementsLineCounter,timeout,timeout,false,None,None,timeout
csv_1,org.apache.commons.csv.ExtendedBufferedReader_2_6Test,testReadReturnsEOF,timeout,timeout,false,None,None,timeout
csv_1,org.apache.commons.csv.ExtendedBufferedReader_3_1Test,testReadAgain_withDefaultLastChar,pass,pass,false,0,0,
csv_1,org.apache.commons.csv.ExtendedBufferedReader_3_1Test,testReadAgain_withEndOfStreamLastChar,pass,pass,false,0,0,
csv_1,org.apache.commons.csv.ExtendedBufferedReader_3_1Test,testReadAgain_withPositiveLastChar,pass,pass,false,0,0,
csv_1,org.apache.commons.csv.ExtendedBufferedReader_3_2Test,testReadAgainInitialValue,pass,pass,false,0,0,
csv_1,org.apache.commons.csv.ExtendedBufferedReader_3_2Test,testReadAgainWithCustomValue,pass,pass,false,0,0,
csv_1,org.apache.commons.csv.ExtendedBufferedReader_3_2Test,testReadAgainWithEndOfStream,pass,pass,false,0,0,
csv_1,org.apache.commons.csv.ExtendedBufferedReader_3_3Test,testReadAgain_returnsLastChar,pass,pass,false,0,0,
csv_1,org.apache.commons.csv.ExtendedBufferedReader_3_4Test,testReadAgainInitialValue,pass,pass,false,0,0,
csv_1,org.apache.commons.csv.ExtendedBufferedReader_3_4Test,testReadAgainAfterSettingLastChar,pass,pass,false,0,0,
csv_1,org.apache.commons.csv.ExtendedBufferedReader_3_4Test,testReadAgainAfterSettingLastCharToEndOfStream,pass,pass,false,0,0,
csv_1,org.apache.commons.csv.ExtendedBufferedReader_3_5Test,testReadAgainInitialValue,pass,pass,false,0,0,
csv_1,org.apache.commons.csv.ExtendedBufferedReader_3_5Test,testReadAgainAfterSettingLastChar,pass,pass,false,0,0,
csv_1,org.apache.commons.csv.ExtendedBufferedReader_3_5Test,testReadAgainAfterSettingLastCharToEndOfStream,pass,pass,false,0,0,
csv_1,org.apache.commons.csv.ExtendedBufferedReader_3_6Test,testReadAgain_initialUndefined,pass,pass,false,0,0,
csv_1,org.apache.commons.csv.ExtendedBufferedReader_3_6Test,testReadAgain_afterSettingLastChar,pass,pass,false,0,0,
csv_1,org.apache.commons.csv.ExtendedBufferedReader_3_6Test,testReadAgain_afterSettingLastCharToEndOfStream,pass,pass,false,0,0,
csv_1,org.apache.commons.csv.ExtendedBufferedReader_4_1Test,testReadLengthZeroReturnsZero,pass,pass,false,0,0,
csv_1,org.apache.commons.csv.ExtendedBufferedReader_4_1Test,testReadReturnsMinusOneSetsLastCharToEndOfStream,pass,pass,false,0,0,
csv_1,org.apache.commons.csv.ExtendedBufferedReader_4_1Test,testReadProcessesBufferWithNewlinesAndCarriageReturns,pass,pass,false,0,0,
csv_1,org.apache.commons.csv.ExtendedBufferedReader_4_1Test,testReadProcessesNewlineAfterCarriageReturnDoesNotIncrementLineCounter,pass,pass,false,0,0,
csv_1,org.apache.commons.csv.ExtendedBufferedReader_4_2Test,testRead_lengthZero_returnsZero,pass,pass,false,0,0,
csv_1,org.apache.commons.csv.ExtendedBufferedReader_4_2Test,testRead_lenPositive_noNewlineOrCarriage_return,fail,fail,false,1,1,
csv_1,org.apache.commons.csv.ExtendedBufferedReader_4_2Test,testRead_lenPositive_withCarriageReturnInBuf_incrementsLineCounter,fail,fail,false,1,1,
csv_1,org.apache.commons.csv.ExtendedBufferedReader_4_2Test,testRead_lenPositive_withNewlineWithoutPrecedingCarriageReturn_incrementsLineCounter,fail,fail,false,1,1,
csv_1,org.apache.commons.csv.ExtendedBufferedReader_4_2Test,testRead_lenPositive_withNewlineWithPrecedingCarriageReturn_doesNotIncrementLineCounter,fail,fail,false,1,1,
csv_1,org.apache.commons.csv.ExtendedBufferedReader_4_2Test,testRead_lenNegativeOne_setsLastCharToEndOfStream,timeout,timeout,false,None,None,timeout
csv_1,org.apache.commons.csv.ExtendedBufferedReader_4_3Test,testRead_lengthZero_returnsZero,pass,pass,false,0,0,
csv_1,org.apache.commons.csv.ExtendedBufferedReader_4_3Test,testRead_lenPositive_noNewlineOrCarriageReturn,fail,fail,false,1,1,
csv_1,org.apache.commons.csv.ExtendedBufferedReader_4_3Test,testRead_lenPositive_withLineBreaks,pass,pass,false,0,0,
csv_1,org.apache.commons.csv.ExtendedBufferedReader_4_3Test,testRead_lenNegativeOne_setsLastCharToEndOfStream,pass,pass,false,0,0,
csv_1,org.apache.commons.csv.ExtendedBufferedReader_4_4Test,testRead_LengthZero_ReturnsZero,pass,pass,false,0,0,
csv_1,org.apache.commons.csv.ExtendedBufferedReader_4_4Test,testRead_ReadReturnsMinusOne_SetsLastCharToEndOfStream,fail,fail,false,1,1,
csv_1,org.apache.commons.csv.ExtendedBufferedReader_4_4Test,testRead_ReadReturnsPositive_NoNewlineOrCarriageReturn,fail,fail,false,1,1,
csv_1,org.apache.commons.csv.ExtendedBufferedReader_4_4Test,testRead_ReadReturnsPositive_WithNewlineNotPrecededByCarriageReturn,fail,fail,false,1,1,
csv_1,org.apache.commons.csv.ExtendedBufferedReader_4_4Test,testRead_ReadReturnsPositive_WithNewlinePrecededByCarriageReturn,fail,fail,false,1,1,
csv_1,org.apache.commons.csv.ExtendedBufferedReader_4_4Test,testRead_ReadReturnsPositive_NewlineAtStart_UsesLastChar,fail,fail,false,1,1,
csv_1,org.apache.commons.csv.ExtendedBufferedReader_4_4Test,testRead_ReadReturnsPositive_NewlineAtStart_PrecededByCarriageReturnLastChar,fail,fail,false,1,1,
csv_1,org.apache.commons.csv.ExtendedBufferedReader_4_4Test,testRead_ReadReturnsPositive_MultipleNewlinesAndCarriageReturns,fail,fail,false,1,1,
csv_1,org.apache.commons.csv.ExtendedBufferedReader_4_5Test,testRead_lengthZero_returnsZero,pass,pass,false,0,0,
csv_1,org.apache.commons.csv.ExtendedBufferedReader_4_5Test,testRead_lenPositive_withNewLineNotPrecededByCarriageReturn,fail,fail,false,1,1,
csv_1,org.apache.commons.csv.ExtendedBufferedReader_4_5Test,testRead_lenPositive_withNewLinePrecededByCarriageReturn,fail,fail,false,1,1,
csv_1,org.apache.commons.csv.ExtendedBufferedReader_4_5Test,testRead_lenPositive_newLineAtOffsetZero_lastCharNotCarriageReturn,fail,fail,false,1,1,
csv_1,org.apache.commons.csv.ExtendedBufferedReader_4_5Test,testRead_lenPositive_newLineAtOffsetZero_lastCharCarriageReturn,fail,fail,false,1,1,
csv_1,org.apache.commons.csv.ExtendedBufferedReader_4_5Test,testRead_lenNegativeOne_setsLastCharToEndOfStream,fail,fail,false,1,1,
csv_1,org.apache.commons.csv.ExtendedBufferedReader_4_6Test,testRead_lengthZero_returnsZero,pass,pass,false,0,0,
csv_1,org.apache.commons.csv.ExtendedBufferedReader_4_6Test,testRead_lenPositive_withNewLineNotPrecededByCarriageReturn,pass,pass,false,0,0,
csv_1,org.apache.commons.csv.ExtendedBufferedReader_4_6Test,testRead_lenPositive_withNewLinePrecededByCarriageReturn,pass,pass,false,0,0,
csv_1,org.apache.commons.csv.ExtendedBufferedReader_4_6Test,testRead_lenPositive_withOnlyCarriageReturn,pass,pass,false,0,0,
csv_1,org.apache.commons.csv.ExtendedBufferedReader_4_6Test,testRead_lenNegativeOne_setsLastCharToEndOfStream,pass,pass,false,0,0,
csv_1,org.apache.commons.csv.ExtendedBufferedReader_5_1Test,testReadLine_NonNullNonEmptyLine,pass,pass,false,0,0,
csv_1,org.apache.commons.csv.ExtendedBufferedReader_5_1Test,testReadLine_NonNullEmptyLine,pass,pass,false,0,0,
csv_1,org.apache.commons.csv.ExtendedBufferedReader_5_1Test,testReadLine_NullLine,pass,pass,false,0,0,
csv_1,org.apache.commons.csv.ExtendedBufferedReader_5_2Test,testReadLine_NullLine,fail,fail,false,1,1,
csv_1,org.apache.commons.csv.ExtendedBufferedReader_5_2Test,testReadLine_EmptyLine,pass,pass,false,0,0,
csv_1,org.apache.commons.csv.ExtendedBufferedReader_5_2Test,testReadLine_NonEmptyLine,pass,pass,false,0,0,
csv_1,org.apache.commons.csv.ExtendedBufferedReader_5_3Test,testReadLine_nonNullNonEmptyLine,pass,pass,false,0,0,
csv_1,org.apache.commons.csv.ExtendedBufferedReader_5_3Test,testReadLine_nonNullEmptyLine,pass,pass,false,0,0,
csv_1,org.apache.commons.csv.ExtendedBufferedReader_5_3Test,testReadLine_nullLine,pass,pass,false,0,0,
csv_1,org.apache.commons.csv.ExtendedBufferedReader_5_4Test,testReadLine_withNonEmptyLine,pass,pass,false,0,0,
csv_1,org.apache.commons.csv.ExtendedBufferedReader_5_4Test,testReadLine_withEmptyLine,pass,pass,false,0,0,
csv_1,org.apache.commons.csv.ExtendedBufferedReader_5_4Test,testReadLine_withNullLine,pass,pass,false,0,0,
csv_1,org.apache.commons.csv.ExtendedBufferedReader_5_5Test,testReadLine_NonNullNonEmptyLine_Real,pass,pass,false,0,0,
csv_1,org.apache.commons.csv.ExtendedBufferedReader_5_5Test,testReadLine_NullLine,pass,pass,false,0,0,
csv_1,org.apache.commons.csv.ExtendedBufferedReader_5_5Test,testReadLine_NonNullEmptyLine,pass,pass,false,0,0,
csv_1,org.apache.commons.csv.ExtendedBufferedReader_5_6Test,testReadLine_NullLine,pass,pass,false,0,0,
csv_1,org.apache.commons.csv.ExtendedBufferedReader_5_6Test,testReadLine_EmptyLine,pass,pass,false,0,0,
csv_1,org.apache.commons.csv.ExtendedBufferedReader_5_6Test,testReadLine_NonEmptyLine,pass,pass,false,0,0,
csv_1,org.apache.commons.csv.ExtendedBufferedReader_6_1Test,testLookAheadReturnsChar,timeout,timeout,false,None,None,timeout
csv_1,org.apache.commons.csv.ExtendedBufferedReader_6_1Test,testLookAheadReturnsEndOfStream,timeout,timeout,false,None,None,timeout
csv_1,org.apache.commons.csv.ExtendedBufferedReader_6_1Test,testLookAheadThrowsIOException,timeout,timeout,false,None,None,timeout
csv_1,org.apache.commons.csv.ExtendedBufferedReader_6_2Test,testLookAheadReturnsNextChar,timeout,timeout,false,None,None,timeout
csv_1,org.apache.commons.csv.ExtendedBufferedReader_6_2Test,testLookAheadReturnsEndOfStream,timeout,timeout,false,None,None,timeout
csv_1,org.apache.commons.csv.ExtendedBufferedReader_6_2Test,testLookAheadThrowsIOException,timeout,timeout,false,None,None,timeout
csv_1,org.apache.commons.csv.ExtendedBufferedReader_6_3Test,testLookAheadReturnsNextChar,timeout,timeout,false,None,None,timeout
csv_1,org.apache.commons.csv.ExtendedBufferedReader_6_3Test,testLookAheadReturnsEndOfStream,timeout,timeout,false,None,None,timeout
csv_1,org.apache.commons.csv.ExtendedBufferedReader_6_3Test,testLookAheadMultipleCalls,timeout,timeout,false,None,None,timeout
csv_1,org.apache.commons.csv.ExtendedBufferedReader_6_3Test,testLookAheadResetCalled,timeout,timeout,false,None,None,timeout
csv_1,org.apache.commons.csv.ExtendedBufferedReader_6_4Test,testLookAheadReturnsCharSuccessfully,fail,fail,false,1,1,
csv_1,org.apache.commons.csv.ExtendedBufferedReader_6_4Test,testLookAheadReturnsEndOfStream,fail,fail,false,1,1,
csv_1,org.apache.commons.csv.ExtendedBufferedReader_6_4Test,testLookAheadThrowsIOExceptionOnMark,fail,fail,false,1,1,
csv_1,org.apache.commons.csv.ExtendedBufferedReader_6_4Test,testLookAheadThrowsIOExceptionOnRead,fail,fail,false,1,1,
csv_1,org.apache.commons.csv.ExtendedBufferedReader_6_4Test,testLookAheadThrowsIOExceptionOnReset,fail,fail,false,1,1,
csv_1,org.apache.commons.csv.ExtendedBufferedReader_6_5Test,testLookAheadReturnsCharSuccessfully,timeout,timeout,false,None,None,timeout
csv_1,org.apache.commons.csv.ExtendedBufferedReader_6_5Test,testLookAheadReturnsEndOfStream,timeout,timeout,false,None,None,timeout
csv_1,org.apache.commons.csv.ExtendedBufferedReader_6_5Test,testLookAheadThrowsIOExceptionFromMark,timeout,timeout,false,None,None,timeout
csv_1,org.apache.commons.csv.ExtendedBufferedReader_6_5Test,testLookAheadThrowsIOExceptionFromRead,timeout,timeout,false,None,None,timeout
csv_1,org.apache.commons.csv.ExtendedBufferedReader_6_5Test,testLookAheadThrowsIOExceptionFromReset,timeout,timeout,false,None,None,timeout
csv_1,org.apache.commons.csv.ExtendedBufferedReader_6_6Test,testLookAheadReturnsNextChar,timeout,timeout,false,None,None,timeout
csv_1,org.apache.commons.csv.ExtendedBufferedReader_6_6Test,testLookAheadReturnsEndOfStream,timeout,timeout,false,None,None,timeout
csv_1,org.apache.commons.csv.ExtendedBufferedReader_6_6Test,testLookAheadThrowsIOException,timeout,timeout,false,None,None,timeout
csv_1,org.apache.commons.csv.ExtendedBufferedReader_7_1Test,testGetLineNumber_initialValue,pass,pass,false,0,0,
csv_1,org.apache.commons.csv.ExtendedBufferedReader_7_1Test,testGetLineNumber_afterReadingLines,pass,pass,false,0,0,
csv_1,org.apache.commons.csv.ExtendedBufferedReader_7_2Test,testGetLineNumber_initialValue,pass,pass,false,0,0,
csv_1,org.apache.commons.csv.ExtendedBufferedReader_7_2Test,testGetLineNumber_afterIncrementingLineCounter,pass,pass,false,0,0,
csv_1,org.apache.commons.csv.ExtendedBufferedReader_7_3Test,testGetLineNumber_initialValue,pass,pass,false,0,0,
csv_1,org.apache.commons.csv.ExtendedBufferedReader_7_3Test,testGetLineNumber_afterManualIncrement,pass,pass,false,0,0,
csv_1,org.apache.commons.csv.ExtendedBufferedReader_7_4Test,testGetLineNumber_initialValue,pass,pass,false,0,0,
csv_1,org.apache.commons.csv.ExtendedBufferedReader_7_4Test,testGetLineNumber_afterSettingLineCounter,pass,pass,false,0,0,
csv_1,org.apache.commons.csv.ExtendedBufferedReader_7_5Test,testGetLineNumber_initialValue,pass,pass,false,0,0,
csv_1,org.apache.commons.csv.ExtendedBufferedReader_7_6Test,testGetLineNumber_initialValue,pass,pass,false,0,0,
csv_1,org.apache.commons.csv.ExtendedBufferedReader_7_6Test,testGetLineNumber_afterSettingLineCounter,pass,pass,false,0,0,
